# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	57107
#@/user_id	f0f17d41-97b2-4dca-ad5e-3e828221d473
aa3 	亞	c=1 d=3.20071e-69 t=57107
aa3 	啊	c=24 d=6.35007e-11 t=57107
aa3 	阿	c=5 d=2.09306e-09 t=57107
aa3 laai1 si1 gaa1 	阿拉斯加	c=1 d=3.28631e-56 t=57107
aa3 lei5 	阿里	c=31 d=2.16831e-17 t=57107
aa3 lei5 wan4 	阿里雲	c=6 d=3.85148e-51 t=57107
aa3 maa5 seon3 	亞馬遜	c=5 d=2.72865e-23 t=57107
aa3 mun4 	亞門	c=0 d=2.47261e-63 t=57107
aa3 wan6 wui2 	亞運會	c=1 d=2.80948e-94 t=57107
aai1 	唉	c=1 d=6.89398e-37 t=57107
aak1 	握	c=1 d=6.36591e-70 t=57107
aan3 	晏	c=1 d=2.52944e-94 t=57107
aan3 zau3 	晏晝	c=4 d=2.00126e-15 t=57107
aap3 	鴨	c=5 d=0.264643 t=57107
aat3 	壓	c=6 d=2.35155e-89 t=57107
aat3 lik6 	壓力	c=5 d=1.85723e-48 t=57107
aat3 suk1 	壓縮	c=16 d=1.6177e-23 t=57107
aat3 suk1 baau1 	壓縮包	c=1 d=5.59481e-51 t=57107
aat3 zaa3 	壓榨	c=1 d=3.72047e-104 t=57107
am3 nim6 	暗念	c=0 d=3.84329e-46 t=57107
am3 nim6 tai4 	暗念提	c=1 d=3.86256e-45 t=57107
au1 	歐	c=2 d=8.1776e-67 t=57107
au1 zau1 	歐洲	c=1 d=5.01885e-67 t=57107
baa1 	巴	c=6 d=0.00914096 t=57107
baa1 	爸	c=12 d=8.34983e-16 t=57107
baa1 lai4 	巴黎	c=5 d=9.08474e-67 t=57107
baa2 	把	c=55 d=1.1313e-07 t=57107
baa6 	吧	c=286 d=0.497201 t=57107
baai2 	擺	c=4 d=2.61557e-19 t=57107
baai2 fong3 	擺放	c=1 d=2.35075e-85 t=57107
baai3 	拜	c=2 d=3.84709e-86 t=57107
baai3 fong2 	拜訪	c=9 d=0.0629994 t=57107
baai6 	敗	c=1 d=7.03325e-37 t=57107
baak3 	伯	c=7 d=3.5472e-43 t=57107
baak3 	百	c=11 d=9.58759e-09 t=57107
baak3 fan1 	百分	c=2 d=9.6158e-29 t=57107
baak3 fan6 bei2 	百分比	c=1 d=9.95287e-63 t=57107
baak3 gaa1 	百家	c=3 d=1.43627e-53 t=57107
baak3 gaa1 lok6 	百家樂	c=1 d=2.86029e-99 t=57107
baak3 lok6 	伯樂	c=6 d=5.51357e-26 t=57107
baak3 maan6 	百萬	c=1 d=2.6055e-119 t=57107
baak6 	白	c=9 d=0.000605171 t=57107
baak6 gaap3 	白鴿	c=1 d=0.0117959 t=57107
baak6 ming4 daan1 	白名單	c=1 d=1.71345e-100 t=57107
baak6 sik1 	白色	c=1 d=0.767206 t=57107
baan1 	班	c=12 d=2.74841e-12 t=57107
baan1 kap1 	班級	c=1 d=1.19694e-56 t=57107
baan2 	版	c=50 d=0.00144626 t=57107
baan2 	闆	c=3 d=1.7365e-22 t=57107
baan2 bun2 	版本	c=100 d=1.32344e-07 t=57107
baan2 kyun4 	版權	c=1 d=4.10852e-36 t=57107
baan2 sik1 	版式	c=2 d=1.18072e-72 t=57107
baan2 uk1 bin3 ngo5 	版屋變我	c=1 d=2.95623e-46 t=57107
baan6 	辦	c=17 d=1.47079e-22 t=57107
baan6 faat3 	辦法	c=14 d=0.00569169 t=57107
baan6 gung1 	辦公	c=4 d=0.07502 t=57107
baan6 gung1 sat1 	辦公室	c=15 d=0.00222055 t=57107
baan6 lei5 	辦理	c=4 d=4.27979e-17 t=57107
baan6 si6 	辦事	c=1 d=8.15896e-19 t=57107
baat3 	八	c=7 d=8.55876e-53 t=57107
baau1 	包	c=56 d=4.67568e-18 t=57107
baau1 ham4 	包含	c=11 d=0.927743 t=57107
baau1 kut3 	包括	c=7 d=0.000275524 t=57107
baau1 zong1 	包裝	c=1 d=2.05612e-39 t=57107
baau3 	爆	c=1 d=3.72249e-81 t=57107
bai3 waan4 	閉環	c=1 d=6.84072e-34 t=57107
bai6 	幣	c=2 d=6.28629e-69 t=57107
bak1 	北	c=61 d=0.00151347 t=57107
bak1 daai6 	北大	c=1 d=7.66585e-109 t=57107
bak1 gaau3 	北滘	c=35 d=2.97731e-12 t=57107
bak1 gik6 	北極	c=4 d=0.000415842 t=57107
bak1 ging1 	北京	c=32 d=1.5128e-10 t=57107
bak1 hoi2 	北海	c=2 d=7.14008e-109 t=57107
ban1 hoeng3 	奔向	c=1 d=9.80406e-121 t=57107
ban2 hang6 	品行	c=1 d=2.28197e-118 t=57107
ban2 soeng4 	品嚐	c=1 d=9.77043e-110 t=57107
bang1 kui2 	崩潰	c=7 d=3.62798e-93 t=57107
bat1 	不	c=761 d=3.23403 t=57107
bat1 	筆	c=2 d=2.11808e-06 t=57107
bat1 co3 	不錯	c=3 d=4.5822e-55 t=57107
bat1 do1 	不多	c=1 d=3.76182e-87 t=57107
bat1 dung6 	不動	c=1 d=3.19211e-08 t=57107
bat1 fan1 	不分	c=1 d=1.2949e-11 t=57107
bat1 gei3 bun2 	筆記本	c=1 d=2.48408e-87 t=57107
bat1 gun2 	不管	c=1 d=9.85384e-63 t=57107
